Age;Gender;Weightkg;Heightm;Max_BPM;Avg_BPM;Resting_BPM;Session_Durationhours;Calories_Burned;Workout_Type;Fat_Percentage;Water_Intakeliters;Workout_Frequencydaysweek;BMI;Experience_Level
46;Female;74,9;1,53;179;151;66;1,3;883;HIIT;33,9;2,1;4;32;1
32;Female;68,1;1,66;167;122;54;1,11;677;Cardio;33,4;2,3;4;24,71;1
25;Male;53,2;1,7;190;164;56;,59;532;Strength;28,8;2,1;3;18,41;0
38;Male;46,1;1,79;188;158;68;,64;556;Strength;29,2;2,8;3;14,39;0
36;Male;70,3;1,72;174;169;73;1,49;1385;Cardio;21,3;2,3;3;23,76;1
40;Female;69,7;1,51;189;141;64;1,27;895;Cardio;30,6;1,9;3;30,57;1
28;Male;121,7;1,94;185;127;52;1,03;719;Strength;28,9;2,6;4;32,34;1
28;Male;101,8;1,84;169;136;64;1,08;808;Cardio;29,7;2,7;3;30,07;0
41;Male;120,8;1,67;188;146;54;,82;593;HIIT;20,5;3;2;43,31;0
53;Male;51,7;1,7;175;152;72;1,15;865;HIIT;23,6;3,5;3;17,89;1
57;Male;112,5;1,61;195;165;61;1,24;1013;Cardio;22,1;2,7;3;43,4;1
41;Male;94,5;2;179;136;69;1,18;794;HIIT;27,6;3,7;3;23,62;0
20;Male;117,7;1,81;196;161;54;1,35;1195;Yoga;26,4;3,3;3;35,93;1
39;Female;42,5;1,75;181;131;52;1,13;740;Strength;26,2;2,1;2;13,88;0
19;Female;64;1,53;166;167;58;1,33;1111;HIIT;29,8;2,3;3;27,34;1
41;Female;43,8;1,77;182;165;58;1,19;884;Cardio;31,9;1,6;3;13,98;0
47;Female;66,8;1,75;199;146;56;1,13;742;Strength;32,8;2,5;3;21,81;1
55;Female;75,2;1,67;188;167;51;1,37;1030;HIIT;25,2;2,2;2;26,96;0
19;Male;89;1,77;175;127;72;1,5;1048;Strength;28,9;3,7;4;28,41;1
38;Male;71,9;1,77;197;142;72;1,12;875;Cardio;25,7;3,1;2;22,95;0
50;Female;71;1,68;187;161;70;1,17;848;Yoga;33,1;2,5;2;25,16;0
29;Male;120,9;1,78;197;168;65;,78;721;Yoga;28,1;3,4;2;38,16;0
39;Female;64,3;1,69;190;148;58;1,25;925;HIIT;26,9;1,9;4;22,51;1
42;Female;63,7;1,71;173;169;62;1,42;1080;Yoga;26,1;1,8;3;21,78;1
44;Male;65,2;1,8;192;139;68;,73;502;HIIT;27,2;2,7;2;20,12;0
59;Male;53,9;1,75;168;135;69;1,48;989;Strength;21,6;2,8;4;17,6;1
33;Female;78;1,68;183;135;55;1,29;871;HIIT;32,3;1,8;3;27,64;1
32;Male;108,2;1,8;172;138;53;1,27;964;HIIT;28,4;3,5;3;33,4;0
20;Female;65,4;1,52;185;127;50;1,03;654;Yoga;28;2,2;4;28,31;1
54;Female;50,2;1,61;188;157;67;1,48;1046;HIIT;28,2;2,7;2;19,37;0
24;Female;58,9;1,51;187;157;68;1,04;816;Cardio;31,7;2,5;2;25,83;0
